 name                                               | tier
 Ancient Key                                        | 2    
 Perfected Ferralith Machete                        | 4    
 Sapphire Inlaid Simple Cloth Leg Power Source      | 2    
 Aurumite Hand Power Source                         | 2    
 Infused Crop Oil                                   | 3    
 Decayed Ferralith Bow                              | 3    
 Diamond Inlaid Lirium Head Power Source            | 5    
 Decayed Aurumite Bow                               | 2    
 Plain Bread                                        | 1    
 Exquisite Tree Bark                                | 5    
 Massive Peerless Ruby                              | 6    
 Lirium Saw                                         | 5    
 Plain Mushroom Skewer                              | 1    
 Schematic: Heimlich's House                        | -1   
 Fine Stone Hand Power Source                       | 4    
 Plain Ground Meat and Mashed Bulbs                 | 1    
 High Quality Pyrelite Head Power Source            | 1    
 Diamond Inlaid Elenvar Torso Power Source          | 4    
 Dark Plank Road Recipe                             | -1   
 Ruby Inlaid Peerless Leather Hand Power Source     | 6    
 Zesty Ground Meat and Mashed Bulbs                 | 3    
 Pointed Cap                                        | 1    
 Decayed Ferralith Axe                              | 3    
 Perfected Lirium Hammer                            | 6    
 Decayed Ferralith Machete                          | 3    
 Plain Raw Berry Pie                                | 1    
 Luminite Bow                                       | 6    
 Immortal Soldier's Tunic                           | 3    
 Fine Fish Oil                                      | 4    
 High Quality Exquisite Plank                       | 5    
 Emerald Inlaid Fine Stone Head Power Source        | 4    
 Ancient Journal Page #3                            | -1   
 Crushed Peerless Shells                            | 6    
 Overloaded Pyrelite Module                         | 1    
 Simple Wispweave Filament                          | 2    
 Deed: Blank                                        | -1   
 Basic Starbulb Plant                               | 1    
 Sturdy Wispweave Filament                          | 3    
 Overloaded Fine Cloth Head Power Source            | 4    
 Zesty Hot Tea                                      | 3    
 Exquisite Starbulb Plant                           | 5    
 Infused Flower                                     | 3    
 Rough Pebbles                                      | 1    
 Fine Mushroom Skewer                               | 4    
 Exquisite Chum                                     | 5    
 Exquisite Starbulb Seeds                           | 5    
 High Quality Elenvar Head Power Source             | 4    
 Schematic: Perfected Aurumite Rod                  | 2    
 Simple Starbulb Plant                              | 2    
 Rough Trousers                                     | 1    
 Fine Leather Output                                | 4    
 Sapphire Inlaid Sturdy Cloth Hand Power Source     | 3    
 Decayed Pyrelite Rod                               | 1    
 Azure Shark Filet                                  | 5    
 Aurumite Nails                                     | 2    
 Decayed Ferralith Saw                              | 3    
 Zesty Mushroom Stuffed Bulbs                       | 3    
 Golden Crawfish                                    | 5    
 Emerald Inlaid Sturdy Stone Torso Power Source     | 3    
 Deed: Mask - Stub Horn Mask                        | -1   
 Massive Peerless Diamond                           | 6    
 Immortal Sergeant's Gloves                         | 5    
 Ferralith Leg Power Source                         | 3    
 Ambrosial Skewered Baitfish                        | 6    
 Basic Bait and Shells                              | 1    
 Deed: Mask Pattern - Arch Blue                     | -1   
 Fingerless Long Cloth Gloves                       | 1    
 Decayed Ferralith Chisel                           | 3    
 Diamond Inlaid Elenvar Leg Power Source            | 4    
 Decayed Luminite Scissors                          | 6    
 Rough Untreated Plank Output                       | 1    
 Decayed Lirium Bow                                 | 5    
 Peerless Starbulb Products                         | 6    
 Schematic: Overloaded Lirium Module                | 5    
 Immortal Sergeant's Leggings                       | 5    
 Perfected Ferralith Tool Research                  | 3    
 Perfected Pyrelite Trowel Recipe                   | 1    
 Uncut Exquisite Sapphire                           | 5    
 Sturdy Gem                                         | 3    
 Exquisite Cloth Torso Power Source                 | 5    
 Rough Repaired Leg Power Source                    | 1    
 Ambrosial Roasted Ocean Fish                       | 6    
 Perfected Aurumite Chisel                          | 3    
 Simple Plant Fiber                                 | 2    
 High Quality Rough Leather Leg Power Source        | 1    
 Molten Luminite                                    | 6    
 Sturdy Leather Straps                              | 3    
 Uncut Peerless Sapphire                            | 6    
 Ferralith Knife                                    | 3    
 Perfected Luminite Quill                           | 7    
 Decayed Aurumite Tool                              | 2    
 Perfected Elenvar Rod                              | 5    
 Overloaded Pyrelite Leg Power Source               | 1    
 Pointed Hat                                        | 1    
 Basic Wispweave Seeds                              | 1    
 High Quality Lirium Hand Power Source              | 5    
 Ruby Inlaid Rough Leather Torso Power Source       | 1    
 Succulent Berry Pie                                | 5    
 Schematic: Perfected Elenvar Hammer                | 4    
 Sturdy Emerald                                     | 3    
 Pyrelite Hoe                                       | 1    
 Fine Repaired Ancient Resistor                     | 4    
 High Quality Aurumite Hand Power Source            | 2    
 Peerless Radiant Module                            | -1   
 Fine Leather Leg Power Source                      | 4    
 Perfected Pyrelite Knife                           | 2    
 High Quality Sturdy Leather Leg Power Source       | 3    
 Perfected Luminite Rod                             | 7    
 Developer Machete                                  | 13   
 Plain Roasted Meat                                 | 1    
 Exquisite Gem Dust                                 | 5    
 Peerless Twine                                     | 6    
 Overloaded Fine Leather Head Power Source          | 4    
 Savory Raw Berry Pie                               | 2    
 Wavecrest Eel Filet                                | 3    
 Rough Shorts                                       | 1    
 Decayed Ancient Bow                                | -1   
 Perfected Ferralith Scissors                       | 4    
 Perfected Lirium Saw                               | 6    
 Beach Shirt                                        | 1    
 Sturdy Forester's Pot                              | 3    
 Schematic: Perfected Elenvar Chisel                | 4    
 Peerless Cloth Output                              | 6    
 Decayed Lirium Tool                                | 5    
 Perfected Pyrelite Machete                         | 2    
 Uncut Simple Emerald                               | 2    
 Plain Raw Bulb Rolls                               | 1    
 Diamond Inlaid Luminite Leg Power Source           | 6    
 Sturdy Repaired Ancient Wires                      | 3    
 Grand Fine Sapphire                                | 4    
 Sturdy Dried Pelt                                  | 3    
 Overloaded Luminite Module                         | 6    
 T3 Ancient Components                              | -1   
 Deed: Mask Pattern - Sun Blue                      | -1   
 Massive Exquisite Diamond                          | 5    
 Tattered Cap                                       | 1    
 Overloaded Lirium Torso Power Source               | 5    
 Perfected Elenvar Tool Research                    | 4    
 Perfected Ferralith Pickaxe                        | 4    
 Fine Spool Of Thread                               | 4    
 High Quality Pyrelite Module                       | 1    
 Peerless Parchment                                 | 6    
 High Quality Ferralith Ingot                       | 3    
 Peerless Cleaned Pelt                              | 6    
 Schematic: Perfected Aurumite Pickaxe              | 2    
 Deed: Mask - Drooping Ear Mask                     | -1   
 Pyrelite Pickaxe                                   | 1    
 Lirium Axe                                         | 5    
 Leather Workboots                                  | 1    
 Infused Pigment                                    | 3    
 Perfected Lirium Bow                               | 6    
 Elenvar Hand Power Source                          | 4    
 Animal Bones                                       | -1   
 High Quality Pyrelite Hand Power Source            | 1    
 Perfected Aurumite Saw Recipe                      | 2    
 High Quality Sturdy Plank                          | 3    
 Schematic: Perfected Elenvar Machete               | 4    
 Developer Scissors                                 | 9    
 Savory Roasted Meat                                | 2    
 Massive Sturdy Sapphire                            | 3    
 Sturdy Leather Hand Power Source                   | 3    
 Savory Mashed Bulbs                                | 2    
 Zesty Chilling Tea                                 | 3    
 Fine Medium Leather Output                         | 4    
 Argent Ingot                                       | -1   
 Damaged Ancient Spring                             | -1   
 Peerless Stone Hand Power Source                   | 6    
 Blacksmith's Key                                   | 1    
 Perfected Ferralith Hoe                            | 4    
 Decayed Pyrelite Hammer                            | 1    
 Pyrelite Ore Piece                                 | 1    
 Fine Repaired Ancient Gear                         | 4    
 Ambrosial Mushroom Stuffed Bulbs                   | 6    
 Fine Chilling Tea                                  | 4    
 Simple Fish Oil                                    | 2    
 Emerald Inlaid Rough Stone Module                  | 1    
 Schematic: Sturdy Overloaded Cloth Module          | 3    
 Potted Maple Sapling                               | 3    
 Elenvar Rod                                        | 4    
 Exquisite Repaired Ancient Resistor                | 5    
 Sturdy Vibrant Module                              | -1   
 Fine Untreated Plank                               | 4    
 Peerless Starbulb Plant                            | 6    
 Diamond Inlaid Elenvar Hand Power Source           | 4    
 Fine Jam Sandwich                                  | 4    
 Plain Mashed Bulbs                                 | 1    
 Schematic: Perfected Lirium Quill                  | 5    
 Decayed Lirium Machete                             | 5    
 Perfected Elenvar Chisel                           | 5    
 Perfected Aurumite Machete                         | 3    
 Zesty Meat Sandwich                                | 3    
 Perfected Elenvar Pickaxe                          | 5    
 Developer Hammer                                   | 5    
 Emerald Inlaid Peerless Stone Module               | 6    
 Schematic: Peerless Overloaded Cloth Module        | 6    
 Lirium Torso Power Source                          | 5    
 Rough Pants                                        | 1    
 Perfected Pyrelite Cooking Pot Recipe              | 1    
 Tiny Exquisite Emerald                             | 5    
 Emberfin Shiner Filet                              | 2    
 Peerless Brick                                     | 6    
 Perfected Ferralith Bow                            | 4    
 Savory Cooked Berries                              | 2    
 High Quality Exquisite Leather                     | 5    
 Fine Unpowered Cloth Module                        | 4    
 Decayed Luminite Bow                               | 6    
 Overloaded Simple Leather Torso Power Source       | 2    
 Decayed Pyrelite Tool                              | 1    
 Flint Knife                                        | 1    
 Rough Gem Dust                                     | 1    
 Overloaded Sturdy Cloth Module                     | 3    
 Schematic: Fine Overloaded Cloth Module            | 4    
 Simple Raw Pelt                                    | 2    
 High Quality Peerless Cloth Module                 | 6    
 Diamond Inlaid Pyrelite Leg Power Source           | 1    
 Perfected Pyrelite Tool Research                   | 1    
 Rough Long Skirt                                   | 1    
 Miracle Drink                                      | 1    
 Flint Saw                                          | 1    
 High Quality Sturdy Cloth Module                   | 3    
 Simple Plank                                       | 2    
 Flint Quill                                        | 1    
 Schematic: Perfected Pyrelite Hoe                  | 1    
 Infused Starbulb Products                          | 3    
 High Quality Peerless Plank                        | 6    
 Developer Axe                                      | 2    
 High Quality Elenvar Module                        | 4    
 Diamond Inlaid Aurumite Torso Power Source         | 2    
 Fine Leather Hand Power Source                     | 4    
 Sturdy Parchment                                   | 3    
 Tiny Exquisite Sapphire                            | 5    
 Simple Cloth Head Power Source                     | 2    
 Fine Ground Meat and Mashed Bulbs                  | 4    
 Tiny Exquisite Diamond                             | 5    
 Simple Gem                                         | 2    
 Peerless Charcoal                                  | 6    
 Overloaded Lirium Module                           | 5    
 Exquisite Wispweave Seeds                          | 5    
 Emerald Inlaid Peerless Stone Leg Power Source     | 6    
 Ferralith Quill                                    | 3    
 Simple Leather Straps                              | 2    
 Schematic: Perfected Aurumite Pot                  | 2    
 Sapphire Inlaid Peerless Cloth Leg Power Source    | 6    
 Rope Belt                                          | 1    
 Fine Roasted Ocean Fish                            | 4    
 Emerald Inlaid Exquisite Stone Hand Power Source   | 5    
 Schematic: Perfected Elenvar Knife                 | 4    
 Sturdy Large Leather Output                        | 3    
 Savory Trailmix                                    | 2    
 Rough Leather Torso Power Source                   | 1    
 Peerless Leather Output                            | 6    
 Overloaded Peerless Leather Leg Power Source       | 6    
 Leather Vest and Shirt                             | 1    
 Sapphire Inlaid Exquisite Cloth Module             | 5    
 Baffled Adventurer's Note                          | -1   
 Perfected Ferralith Chisel Recipe                  | 3    
 Lirium Chisel                                      | 5    
 Ash                                                | -1   
 Massive Rough Diamond                              | 1    
 Wild Vegetable Seeds                               | 1    
 Aurumite Leg Power Source                          | 2    
 High Quality Peerless Leather Leg Power Source     | 6    
 Decayed Ancient Tool                               | -1   
 Starseeker Scribe's Emblem                         | 3    
 Perfected Aurumite Knife Recipe                    | 2    
 Luminite Pot                                       | 6    
 Pyrelite Gauntlets                                 | 1    
 Massive Fine Emerald                               | 4    
 High Quality Rough Leather Torso Power Source      | 1    
 Peerless Rope                                      | 6    
 Overloaded Elenvar Hand Power Source               | 4    
 Schematic: Perfected Aurumite Scissors             | 2    
 Rough Cloth Output                                 | 1    
 Simple Twine                                       | 2    
 Crushed Exquisite Shells                           | 5    
 Overloaded Rough Leather Leg Power Source          | 1    
 High Quality Lirium Leg Power Source               | 5    
 Deed: Cheater's Boat                               | -1   
 Exquisite Diamond                                  | 5    
 Infused Wispweave Products                         | 3    
 Emerald Inlaid Simple Stone Module                 | 2    
 Oceancrest Marlin Products                         | 1    
 Basic Chum                                         | 1    
 Luminite Saw                                       | 6    
 Tiny Rough Emerald                                 | 1    
 Overloaded Simple Cloth Torso Power Source         | 2    
 Immortal Sergeant's Belt                           | 5    
 Succulent Mashed Bulbs                             | 5    
 Ancient Journal Page #2                            | -1   
 Perfected Luminite Axe                             | 7    
 High Quality Lirium Ingot                          | 5    
 High Quality Sturdy Leather Torso Power Source     | 3    
 Exquisite Embergrain Products                      | 5    
 Decayed Luminite Pot                               | 6    
 Lirium Bow                                         | 5    
 High Quality Sturdy Leather Module                 | 3    
 Decayed Luminite Rod                               | 6    
 Lirium Hand Power Source                           | 5    
 Tree Sap                                           | -1   
 Exquisite Rope                                     | 5    
 Fine Leather                                       | 4    
 Simple Leather Belt                                | 1    
 High Quality Peerless Leather Module               | 6    
 Ruby Inlaid Fine Leather Head Power Source         | 4    
 Fine Dumpling                                      | 4    
 Lirium Hoe                                         | 5    
 Overloaded Lirium Hand Power Source                | 5    
 Sturdy Radiant Module                              | -1   
 Developer Pick Axe                                 | 6    
 Fine Rope                                          | 4    
 High Quality Fine Leather Leg Power Source         | 4    
 Rolled Up Shorts                                   | 1    
 Peerless Unfired Forester's Pot                    | 6    
 Argent Ore Concentrate                             | -1   
 Fine Embergrain Dough                              | 4    
 Emerald Inlaid Sturdy Stone Head Power Source      | 3    
 High Quality Rough Leather                         | 1    
 Infused Embergrain Dough                           | 3    
 Perfected Aurumite Saw                             | 3    
 Peerless Ruby                                      | 6    
 Simple Cloth Leg Power Source                      | 2    
 Simple Charcoal                                    | 2    
 Ruby Inlaid Sturdy Leather Leg Power Source        | 3    
 Perfected Pyrelite Chisel Recipe                   | 1    
 Peerless Spool Of Thread                           | 6    
 Fine Vegetable Stew                                | 4    
 Perfected Elenvar Quill                            | 5    
 Overloaded Rough Cloth Leg Power Source            | 1    
 Deed: Mask - Demon Horn Mask                       | -1   
 Perfected Ferralith Scissors Recipe                | 3    
 Overloaded Peerless Leather Module                 | 6    
 Overloaded Exquisite Cloth Head Power Source       | 5    
 Sapphire Inlaid Simple Cloth Head Power Source     | 2    
 Succulent Roasted Ocean Fish                       | 5    
 Decayed Ancient Machete                            | -1   
 Sturdy Twine                                       | 3    
 Botter's Tool                                      | 1    
 Simple Embergrain Dough                            | 2    
 Exquisite Pebbles                                  | 5    
 Rough Cloth Hand Power Source                      | 1    
 Emerald Inlaid Rough Stone Head Power Source       | 1    
 High Quality Exquisite Cloth Hand Power Source     | 5    
 Simple Rope                                        | 2    
 Decayed Pyrelite Pot                               | 1    
 Simple Medium Leather Output                       | 2    
 Crushed Simple Shells                              | 2    
 Oceancrest Marlin Scale                            | 1    
 Peerless Surging Module                            | -1   
 Overloaded Fine Cloth Torso Power Source           | 4    
 Sturdy Leather Output                              | 3    
 Simple Repaired Ancient Wires                      | 2    
 Deed: Masterful Skiff                              | 1    
 Deed: Hair Color - Charcoal                        | -1   
 Peerless Embergrain Seeds                          | 6    
 Fine Raw Pelt                                      | 4    
 Exquisite Ink                                      | 5    
 Rough Gem                                          | 1    
 Uncut Exquisite Ruby                               | 5    
 Simple Leather Leg Power Source                    | 2    
 Schematic: Perfected Ferralith Knife               | 3    
 Perfected Elenvar Hoe                              | 5    
 Wild Vegetable                                     | 1    
 Perfected Ferralith Saw                            | 4    
 Exquisite Leather Straps                           | 5    
 Seastorm Tuna Products                             | 4    
 Perfected Pyrelite Pickaxe Recipe                  | 1    
 Sturdy Medium Leather Output                       | 3    
 Decayed Lirium Scissors                            | 5    
 High Quality Elenvar Torso Power Source            | 4    
 Perfected Ferralith Saw Recipe                     | 3    
 Peerless Diamond                                   | 6    
 Schematic: Perfected Aurumite Machete              | 2    
 Plain Cooked Berries                               | 1    
 Primitive Mallet                                   | 1    
 Exquisite Radiant Module                           | -1   
 Peerless Wispweave Filament                        | 6    
 Decayed Aurumite Hoe                               | 2    
 Sturdy Surging Module                              | -1   
 Perfected Pyrelite Knife Recipe                    | 1    
 Simple Repaired Ancient Resistor                   | 2    
 Advanced Stone Diagrams                            | 5    
 Sapphire Inlaid Fine Cloth Hand Power Source       | 4    
 Rough Sapphire                                     | 1    
 Decayed Lirium Saw                                 | 5    
 Peerless Sapphire                                  | 6    
 Perfected Lirium Axe                               | 6    
 Schematic: Perfected Pyrelite Bow                  | 1    
 Ancient Journal Page #4                            | -1   
 Simple Ink                                         | 2    
 Essential Stone Carvings                           | 3    
 Tiny Rough Diamond                                 | 1    
 Simple Parchment                                   | 2    
 Sturdy Sapphire                                    | 3    
 Infused Starbulb Seeds                             | 3    
 Rough Cleaned Pelt                                 | 1    
 Elenvar Hammer                                     | 4    
 Savory Berry Pie                                   | 2    
 Leather Chest Armor                                | 1    
 Simple Fabric                                      | 2    
 High Quality Peerless Cloth                        | 6    
 Sturdy Stone Leg Power Source                      | 3    
 Ambrosial Jam Sandwich                             | 6    
 Schematic: Simple Overloaded Leather Module        | 2    
 Ancient Armwraps                                   | 1    
 Simple Vibrant Module                              | -1   
 Fine Raw Meat                                      | 4    
 Fancy White Hat                                    | 1    
 Overloaded Exquisite Leather Module                | 5    
 Peerless Unpowered Cloth Module                    | 6    
 Ambrosial Berry Pie                                | 6    
 Plain Berry Pie                                    | 1    
 Advanced Hieroglyphs                               | 5    
 Tiny Simple Emerald                                | 2    
 Elenvar Saw                                        | 4    
 Ambrosial Mashed Bulbs                             | 6    
 Peerless Mortar                                    | 6    
 Diamond Inlaid Lirium Module                       | 5    
 Luminite Ore Concentrate                           | 6    
 Peerless Embergrain Dough                          | 6    
 Schematic: Perfected Elenvar Rod                   | 4    
 Schematic: Perfected Elenvar Quill                 | 4    
 Fine Cloth Output                                  | 4    
 Sturdy Unfired Forester's Pot                      | 3    
 Peerless Large Leather Output                      | 6    
 Grand Peerless Sapphire                            | 6    
 Exquisite Unfired Forester's Pot                   | 5    
 High Quality Exquisite Leather Head Power Source   | 5    
 Basic Embergrain Flour                             | 1    
 Pyrelite Hand Power Source                         | 1    
 Zesty Cooked Berries                               | 3    
 Luminite Pickaxe                                   | 6    
 Luminite Hammer                                    | 6    
 Simple Wood Log                                    | 2    
 High Quality Simple Leather Hand Power Source      | 2    
 Aurumite Enforced Boots                            | 2    
 Art Of Cheating Scroll                             | 1    
 Zesty Raw Dumpling                                 | 3    
 Exquisite Leather Hand Power Source                | 5    
 Oak Seed                                           | 1    
 Schematic: Exquisite Overloaded Leather Module     | 5    
 Fine Starbulb Plant                                | 4    
 Peerless Starbulb Seeds                            | 6    
 Decayed Ancient Knife                              | -1   
 Perfected Aurumite Hammer                          | 3    
 Peerless Leather Straps                            | 6    
 Ambrosial Trailmix                                 | 6    
 Deed: Hair Color - Brown                           | -1   
 High Quality Sturdy Leather                        | 3    
 Perfected Ferralith Pickaxe Recipe                 | 3    
 Decayed Aurumite Quill                             | 2    
 Perfected Lirium Hoe                               | 6    
 Simple Tool Handle                                 | 2    
 Exquisite Glowing Module                           | 5    
 Sapphire Inlaid Fine Cloth Torso Power Source      | 4    
 Decayed Ferralith Bow                              | 3    
 Deed: Advanced Skiff                               | 1    
 Peerless Fertilizer                                | 6    
 Savory Raw Bulb Rolls                              | 2    
 Savory Mushroom Stuffed Bulbs                      | 2    
 Overloaded Sturdy Leather Head Power Source        | 3    
 Small Piece of Argent Ore                          | -1   
 Pyrelite Chisel                                    | 1    
 Uncut Sturdy Ruby                                  | 3    
 Schematic: Perfected Luminite Knife                | 6    
 Rough Medium Leather Output                        | 1    
 Ferralith Ore Piece                                | 3    
 Breezy Fin Darter Products                         | 1    
 Diamond Inlaid Elenvar Head Power Source           | 4    
 Overloaded Elenvar Module                          | 4    
 Overloaded Aurumite Torso Power Source             | 2    
 Zesty Jam Sandwich                                 | 3    
 Plated Chest Armor                                 | 1    
 Sapphire Inlaid Peerless Cloth Module              | 6    
 Intricate Key                                      | 1    
 Beginner's Stone Carvings                          | 1    
 High Quality Peerless Leather Hand Power Source    | 6    
 Ragged Shirt                                       | 1    
 Simple Rock                                        | 2    
 Simple Embergrain Products                         | 2    
 Perfected Aurumite Pot                             | 3    
 Massive Rough Emerald                              | 1    
 Simple Embergrain Plant                            | 2    
 Basic Belt                                         | 1    
 Exquisite Plant Fiber                              | 5    
 Schematic: Perfected Ferralith Machete             | 3    
 Overloaded Sturdy Cloth Leg Power Source           | 3    
 Deed: Hairstyle - Side Undercut                    | -1   
 High Quality Fine Cloth Module                     | 4    
 Fine Surging Module                                | -1   
 Exquisite Mortar                                   | 5    
 Fine Leather Straps                                | 4    
 Leather Gloves                                     | 1    
 Pyrelite Leg Power Source                          | 1    
 Simple Diamond                                     | 2    
 Schematic: Perfected Lirium Pot                    | 5    
 Immortal Recruit's Belt                            | 1    
 Aurumite Saw                                       | 2    
 Fine Mushroom                                      | 4    
 Wild Fiberplant Seeds                              | 1    
 Perfected Aurumite Scissors                        | 3    
 Damaged Ancient Resistor                           | -1   
 Peerless Glowing Module                            | 6    
 Exquisite Repaired Ancient Mechanism               | 5    
 Simple Bonnet                                      | 2    
 Crushed Rough Shells                               | 1    
 Elenvar Pot                                        | 4    
 Sturdy Repaired Ancient Connector                  | 3    
 Pyrelite Scissors                                  | 1    
 Uncut Sturdy Sapphire                              | 3    
 High Quality Rough Leather Hand Power Source       | 1    
 High Quality Elenvar Leg Power Source              | 4    
 Elenvar Nails                                      | 4    
 Decayed Pyrelite Saw                               | 1    
 Strapped Leather Boots                             | 1    
 Elenvar Bow                                        | 4    
 Exquisite Stone Leg Power Source                   | 5    
 Fine Roasted Fish                                  | 4    
 Damaged Ancient Mechanism                          | -1   
 Peerless Chilling Torso Power Source               | 6    
 Decayed Aurumite Knife                             | 2    
 Overloaded Simple Leather Head Power Source        | 2    
 Ancient Cloth                                      | -1   
 Fine Raw Dumpling                                  | 4    
 Schematic: Perfected Lirium Pickaxe                | 5    
 Abyssal Swordfish Filet                            | 6    
 Crushed Lirium Ore                                 | 5    
 Unpowered Ferralith Module                         | 3    
 Perfected Luminite Chisel                          | 7    
 Perfected Luminite Machete                         | 7    
 Ferralith Axe                                      | 3    
 Emerald Inlaid Sturdy Stone Leg Power Source       | 3    
 Deed: Large Cart                                   | 1    
 Ruby Inlaid Rough Leather Module                   | 1    
 Sapphire Inlaid Sturdy Cloth Module                | 3    
 Sturdy Stone Head Power Source                     | 3    
 Basic Embergrain Products                          | 1    
 Decayed Ancient Axe                                | -1   
 Perfected Aurumite Chisel Recipe                   | 2    
 Crushed Aurumite Ore                               | 2    
 Fine Plant Fiber                                   | 4    
 Sturdy Blank Journal                               | 3    
 High Quality Ferralith Hand Power Source           | 3    
 Fine Overloaded Module                             | -1   
 Ancient Key Mold                                   | -1   
 Basic Raw Meat                                     | 1    
 Tiny Rough Ruby                                    | 1    
 Leather Skirt                                      | 1    
 Schematic: Sturdy Overloaded Leather Module        | 3    
 Essential Study Journal                            | 3    
 Decayed Aurumite Pickaxe                           | 2    
 Overloaded Fine Leather Leg Power Source           | 4    
 Schematic: Perfected Ferralith Quill               | 3    
 Sturdy Cleaned Pelt                                | 3    
 Pygmy Lobster                                      | 4    
 Fine Skewered Baitfish                             | 4    
 Luminite Head Power Source                         | 6    
 Sturdy Pebbles Output                              | 3    
 Overloaded Rough Leather Module                    | 1    
 Decayed Ancient Chisel                             | -1   
 Flint Rod                                          | 1    
 Peerless Pebbles                                   | 6    
 Craftman's Mallet                                  | 1    
 Cooling Capacitor                                  | -1   
 Bone Glue                                          | -1   
 Fine Cloth Hand Power Source                       | 4    
 Fine Cloth Leg Power Source                        | 4    
 Leather Hat                                        | 1    
 Fine Repaired Ancient Spring                       | 4    
 Dress Shirt                                        | 1    
 Decayed Luminite Pickaxe                           | 4    
 Perfected Aurumite Bow                             | 3    
 Coralcrest Darter Products                         | 3    
 Plain Hot Tea                                      | 1    
 Hunchback Prawn                                    | 3    
 Decayed Luminite Tool                              | 6    
 Simple Ruby                                        | 2    
 Tiny Sturdy Diamond                                | 3    
 Diamond Inlaid Ferralith Module                    | 3    
 Grand Rough Diamond                                | 1    
 Overloaded Simple Cloth Module                     | 2    
 Simple Blank Journal                               | 2    
 Fine Starbulb                                      | 4    
 First Settler's Mallet                             | 3    
 Shirt and Suspenders                               | 1    
 Tattered Shorts                                    | 1    
 Exquisite Embergrain Seeds                         | 5    
 Molten Aurumite                                    | 2    
 Schematic: Perfected Ferralith Hammer              | 3    
 Savory Dumpling                                    | 2    
 Ruby Inlaid Peerless Leather Torso Power Source    | 6    
 Simple Glowing Module                              | 2    
 Decayed Luminite Hoe                               | 6    
 Auric Nugget                                       | -1   
 Infused Chum                                       | 3    
 Blue Plank Road Recipe                             | -1   
 Sapphire Inlaid Exquisite Cloth Head Power Source  | 5    
 Fine Chilling Torso Power Source                   | 4    
 Aurumite Torso Power Source                        | 2    
 Exquisite Overloaded Module                        | -1   
 Sapphire Inlaid Simple Cloth Hand Power Source     | 2    
 Decayed Pyrelite Scissors                          | 1    
 Simple Leather Output                              | 2    
 Fine Large Leather Output                          | 4    
 Peerless Wispweave Products                        | 6    
 Starseeker Student's Footwraps                     | 1    
 Sapphire Inlaid Rough Cloth Torso Power Source     | 1    
 Diamond Inlaid Luminite Hand Power Source          | 6    
 Overloaded Luminite Hand Power Source              | 6    
 Schematic: Perfected Pyrelite Quill                | 1    
 Simple Emerald                                     | 2    
 Aurumite Pickaxe                                   | 2    
 Exquisite Stone Torso Power Source                 | 5    
 Schematic: Perfected Ferralith Bow                 | 3    
 Rough Large Leather Output                         | 1    
 Beginner's Study Journal                           | 1    
 Exquisite Leather Head Power Source                | 5    
 Peerless Tool Handle                               | 6    
 Overloaded Exquisite Cloth Torso Power Source      | 5    
 Uncut Sturdy Emerald                               | 3    
 Aurumite Rod                                       | 2    
 Simple Large Leather Output                        | 2    
 Ancient Adventurer's Letter #1                     | -1   
 Simple Unpowered Stone Module                      | 2    
 Fine Starbulb Products                             | 4    
 Decayed Aurumite Axe                               | 2    
 Peerless Repaired Ancient Spring                   | 6    
 Aurumite Knife                                     | 2    
 Peerless Bait                                      | 6    
 Fine Repaired Ancient Wires                        | 4    
 Schematic: Perfected Luminite Saw                  | 6    
 Rough Wispweave Filament                           | 1    
 Exquisite Leather                                  | 5    
 Peerless Flower                                    | 6    
 High Quality Rough Cloth Head Power Source         | 1    
 Ambrosial Bread                                    | 6    
 Fine Stone Torso Power Source                      | 4    
 Infused Wispweave Seeds                            | 3    
 Grand Peerless Diamond                             | 6    
 Pyrelite Ingot                                     | 1    
 Molten Pyrelite                                    | 1    
 Ornate Key                                         | 6    
 Grand Sturdy Ruby                                  | 3    
 Sturdy Cloth Hand Power Source                     | 3    
 Ancient Research                                   | -1   
 Schematic: Perfected Lirium Hammer                 | 5    
 Perfected Pyrelite Saw                             | 2    
 Overloaded Rough Leather Torso Power Source        | 1    
 Peerless Plank                                     | 6    
 Lirium Quill                                       | 5    
 Infused Embergrain Plant                           | 3    
 Perfected Ferralith Tipped Quill Recipe            | 3    
 Flint Pickaxe                                      | 1    
 Ruby Inlaid Rough Leather Hand Power Source        | 1    
 Immortal Soldier's Boots                           | 1    
 Tiny Sturdy Sapphire                               | 3    
 Ruby Inlaid Sturdy Leather Module                  | 3    
 Wavecrest Eel Scale                                | 3    
 Overloaded Rough Leather Hand Power Source         | 1    
 Exquisite Untreated Plank Output                   | 5    
 Exquisite Fertilizer                               | 5    
 Uncut Rough Diamond                                | 1    
 Peerless Embergrain Flour                          | 6    
 Simple Cloth Footwraps                             | 1    
 Overloaded Lirium Leg Power Source                 | 5    
 Sturdy Heated Module                               | 3    
 Decayed Elenvar Tool                               | 4    
 Sapphire Inlaid Fine Cloth Head Power Source       | 4    
 Diamond Inlaid Aurumite Head Power Source          | 2    
 Schematic: Perfected Luminite Chisel               | 6    
 Rough Sandals                                      | 1    
 Zesty Fish and Bulbs                               | 3    
 Basic Starbulb Products                            | 1    
 Developer Hoe                                      | 10   
 Diamond Inlaid Ferralith Head Power Source         | 3    
 Damaged Ancient Wires                              | -1   
 Decayed Elenvar Hammer                             | 4    
 Perfected Elenvar Knife                            | 5    
 Grand Sturdy Diamond                               | 3    
